state,abbreviation,2000,2006,2007,2008,2009
Alabama,AL,19,21.1,21.4,22,22
Alaska,AK,24.7,26.9,26,27.3,26.6
Arizona,AZ,23.5,25.5,25.3,25.1,25.6
Arkansas,AR,16.7,18.2,19.3,18.8,18.9
California,CA,26.6,29,29.5,29.6,29.9
Colorado,CO,32.7,34.3,35,35.6,35.9
Connecticut,CT,31.4,33.7,34.7,35.6,35.6
Delaware,DE,25,27,26.1,27.5,28.7
District of Columbia,DC,39.1,45.9,47.5,48.2,48.5
Florida,FL,22.3,25.3,25.8,25.8,25.3
Georgia,GA,24.3,26.6,27.1,27.5,27.5
Hawaii,HI,26.2,29.7,29.2,29.1,29.6
Idaho,ID,21.7,23.3,24.5,24,23.9
Illinois,IL,26.1,28.9,29.5,29.9,30.6
Indiana,IN,19.4,21.7,22.1,22.9,22.5
Iowa,IA,21.2,24,24.3,24.3,25.1
Kansas,KS,25.8,28.6,28.8,29.6,29.5
Kentucky,KY,17.1,20,20,19.7,21
Louisiana,LA,18.7,20.3,20.4,20.3,21.4
Maine,ME,22.9,25.8,26.7,25.4,26.9
Maryland,MD,31.4,35.1,35.2,35.2,35.7
Massachusetts,MA,33.2,37,37.9,38.1,38.2
Michigan,MI,21.8,24.5,24.7,24.7,24.6
Minnesota,MN,27.4,30.4,31,31.5,31.5
Mississippi,MS,16.9,18.8,18.9,19.4,19.6
Missouri,MO,21.6,24.3,24.5,25,25.2
Montana,MT,24.4,27.4,27,27.1,27.4
Nebraska,NE,23.7,26.9,27.5,27.1,27.4
Nevada,NV,18.2,20.8,21.8,21.9,21.8
New Hampshire,NH,28.7,31.9,32.5,33.3,32
New Jersey,NJ,29.8,33.4,33.9,34.4,34.5
New Mexico,NM,23.5,25.3,24.8,24.7,25.3
New York,NY,27.4,31.2,31.7,31.9,32.4
North Carolina,NC,22.5,24.8,25.6,26.1,26.5
North Dakota,ND,22,25.6,25.7,26.9,25.8
Ohio,OH,21.1,23,24.1,24.1,24.1
Oklahoma,OK,20.3,22.1,22.8,22.2,22.7
Oregon,OR,25.1,27.5,28.3,28.1,29.2
Pennsylvania,PA,22.4,25.4,25.8,26.3,26.4
Rhode Island,RI,25.6,29.6,29.8,30,30.5
South Carolina,SC,20.4,22.7,23.5,23.7,24.3
South Dakota,SD,21.5,24.8,25,25.1,25.1
Tennessee,TN,19.6,21.7,21.8,22.9,23
Texas,TX,23.2,24.7,25.2,25.3,25.5
Utah,UT,26.1,28.6,28.7,29.1,28.5
Vermont,VT,29.4,32.4,33.6,32.1,33.1
Virginia,VA,29.5,32.7,33.6,33.7,34
Washington,WA,27.7,30.5,30.3,30.7,31
West Virginia,WV,14.8,16.5,17.3,17.1,17.3
Wisconsin,WI,22.4,25.1,25.4,25.7,25.7
Wyoming,WY,21.9,22.7,23.4,23.6,23.8